tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
7/12/2012,86,31,33.0,131,20,131,O3,TIDAK SEHAT,JAKARTA
7/13/2012,106,27,44.0,130,30,130,O3,TIDAK SEHAT,JAKARTA
7/14/2012,107,25,41.0,147,29,147,O3,TIDAK SEHAT,JAKARTA
7/15/2012,145,28,36.0,84,21,145,PM10,TIDAK SEHAT,JAKARTA
7/16/2012,118,27,37.0,92,28,118,PM10,TIDAK SEHAT,JAKARTA
7/17/2012,72,23,32.0,126,25,126,O3,TIDAK SEHAT,JAKARTA
7/18/2012,76,21,32.0,128,30,128,O3,TIDAK SEHAT,JAKARTA
7/19/2012,110,33,53.0,113,28,113,O3,TIDAK SEHAT,JAKARTA
7/20/2012,77,28,35.0,77,18,77,PM10,SEDANG,JAKARTA
7/21/2012,73,24,28.0,113,19,113,O3,TIDAK SEHAT,JAKARTA
7/22/2012,120,17,19.0,87,16,120,PM10,TIDAK SEHAT,JAKARTA
7/23/2012,106,26,38.0,151,28,151,O3,TIDAK SEHAT,JAKARTA
7/24/2012,125,28,36.0,141,29,141,O3,TIDAK SEHAT,JAKARTA
7/25/2012,107,29,34.0,290,25,290,O3,SANGAT TIDAK SEHAT,JAKARTA
7/26/2012,138,30,35.0,283,32,283,O3,SANGAT TIDAK SEHAT,JAKARTA
7/27/2012,114,40,37.0,276,29,276,O3,SANGAT TIDAK SEHAT,JAKARTA
7/28/2012,148,28,36.0,288,26,288,O3,SANGAT TIDAK SEHAT,JAKARTA
7/29/2012,150,22,24.0,234,16,234,O3,SANGAT TIDAK SEHAT,JAKARTA
7/30/2012,107,21,33.0,215,20,215,O3,SANGAT TIDAK SEHAT,JAKARTA
7/31/2012,107,24,36.0,221,21,221,O3,SANGAT TIDAK SEHAT,JAKARTA
8/1/2012,123,27,36.0,236,25,236,O3,SANGAT TIDAK SEHAT,JAKARTA
8/2/2012,103,33,40.0,244,35,244,O3,SANGAT TIDAK SEHAT,JAKARTA
8/3/2012,81,25,37.0,216,20,216,O3,SANGAT TIDAK SEHAT,JAKARTA
8/4/2012,101,26,27.0,72,15,101,PM10,TIDAK SEHAT,JAKARTA
8/5/2012,139,25,16.0,73,15,139,PM10,TIDAK SEHAT,JAKARTA
8/6/2012,136,26,38.0,106,19,136,PM10,TIDAK SEHAT,JAKARTA
8/7/2012,97,23,36.0,146,25,146,O3,TIDAK SEHAT,JAKARTA
8/8/2012,83,25,34.0,125,24,125,O3,TIDAK SEHAT,JAKARTA
8/9/2012,171,31,32.0,71,26,171,PM10,TIDAK SEHAT,JAKARTA
8/10/2012,140,33,31.0,61,22,140,PM10,TIDAK SEHAT,JAKARTA
8/11/2012,114,32,22.0,97,17,114,PM10,TIDAK SEHAT,JAKARTA
8/12/2012,121,27,22.0,86,26,121,PM10,TIDAK SEHAT,JAKARTA
8/13/2012,132,25,37.0,95,20,132,PM10,TIDAK SEHAT,JAKARTA
8/14/2012,97,22,33.0,82,24,97,PM10,SEDANG,JAKARTA
8/15/2012,94,23,29.0,68,22,94,PM10,SEDANG,JAKARTA
8/16/2012,99,27,24.0,73,16,99,PM10,SEDANG,JAKARTA
8/17/2012,98,23,20.0,78,15,98,PM10,SEDANG,JAKARTA
8/18/2012,166,22,25.0,82,15,166,PM10,TIDAK SEHAT,JAKARTA
8/19/2012,109,21,27.0,73,11,109,PM10,TIDAK SEHAT,JAKARTA
8/20/2012,65,19,10.0,78,14,78,O3,SEDANG,JAKARTA
8/21/2012,72,23,25.0,78,11,78,O3,SEDANG,JAKARTA
8/22/2012,75,21,13.0,88,16,88,O3,SEDANG,JAKARTA
8/23/2012,85,22,18.0,125,13,125,O3,TIDAK SEHAT,JAKARTA
8/24/2012,89,29,16.0,99,15,99,O3,SEDANG,JAKARTA
8/25/2012,73,23,14.0,104,16,104,O3,TIDAK SEHAT,JAKARTA
8/26/2012,95,24,17.0,91,11,95,PM10,SEDANG,JAKARTA
8/27/2012,78,23,30.0,94,21,94,O3,SEDANG,JAKARTA
8/28/2012,128,45,33.0,115,20,128,PM10,TIDAK SEHAT,JAKARTA
8/29/2012,77,22,33.0,103,23,103,O3,TIDAK SEHAT,JAKARTA
8/30/2012,149,27,30.0,83,20,149,PM10,TIDAK SEHAT,JAKARTA
8/31/2012,106,28,27.0,90,18,106,PM10,TIDAK SEHAT,JAKARTA
9/1/2012,77,31,25.0,99,19,99,O3,SEDANG,JAKARTA
9/2/2012,128,40,25.0,127,20,128,PM10,TIDAK SEHAT,JAKARTA
9/3/2012,77,26,32.0,97,20,97,O3,SEDANG,JAKARTA
9/4/2012,82,33,29.0,89,22,89,O3,SEDANG,JAKARTA
9/5/2012,71,29,33.0,112,26,112,O3,TIDAK SEHAT,JAKARTA
9/6/2012,84,27,31.0,124,20,124,O3,TIDAK SEHAT,JAKARTA
9/7/2012,78,26,31.0,109,21,109,O3,TIDAK SEHAT,JAKARTA
9/8/2012,74,25,27.0,65,19,74,PM10,SEDANG,JAKARTA
9/9/2012,71,24,18.0,96,21,96,O3,SEDANG,JAKARTA
9/10/2012,71,23,35.0,122,20,122,O3,TIDAK SEHAT,JAKARTA
9/11/2012,78,27,34.0,175,26,175,O3,TIDAK SEHAT,JAKARTA
9/12/2012,82,31,49.0,167,21,167,O3,TIDAK SEHAT,JAKARTA
9/13/2012,70,30,29.0,79,27,79,O3,SEDANG,JAKARTA
9/14/2012,84,37,28.0,144,25,144,O3,TIDAK SEHAT,JAKARTA
9/15/2012,131,54,27.0,218,29,218,O3,SANGAT TIDAK SEHAT,JAKARTA
9/16/2012,111,15,25.0,219,23,219,O3,SANGAT TIDAK SEHAT,JAKARTA
9/17/2012,178,20,38.0,224,19,224,O3,SANGAT TIDAK SEHAT,JAKARTA
9/18/2012,100,22,36.0,244,20,244,O3,SANGAT TIDAK SEHAT,JAKARTA
9/19/2012,101,33,34.0,89,18,101,PM10,TIDAK SEHAT,JAKARTA
9/20/2012,71,24,31.0,216,15,216,O3,SANGAT TIDAK SEHAT,JAKARTA
9/21/2012,79,27,34.0,258,27,258,O3,SANGAT TIDAK SEHAT,JAKARTA
9/22/2012,110,31,45.0,193,20,193,O3,TIDAK SEHAT,JAKARTA
9/23/2012,102,22,21.0,176,17,176,O3,TIDAK SEHAT,JAKARTA
9/24/2012,81,26,34.0,245,20,245,O3,SANGAT TIDAK SEHAT,JAKARTA
9/25/2012,77,26,37.0,238,20,238,O3,SANGAT TIDAK SEHAT,JAKARTA
9/26/2012,86,31,35.0,221,23,221,O3,SANGAT TIDAK SEHAT,JAKARTA
9/27/2012,65,26,32.0,222,25,222,O3,SANGAT TIDAK SEHAT,JAKARTA
9/28/2012,74,33,31.0,146,22,146,O3,TIDAK SEHAT,JAKARTA
9/29/2012,109,38,52.0,210,27,210,O3,SANGAT TIDAK SEHAT,JAKARTA
9/30/2012,89,32,52.0,215,18,215,O3,SANGAT TIDAK SEHAT,JAKARTA
10/1/2012,98,27,47.0,219,15,219,O3,SANGAT TIDAK SEHAT,JAKARTA
10/2/2012,92,31,34.0,295,17,295,O3,SANGAT TIDAK SEHAT,JAKARTA
10/3/2012,96,30,69.0,236,22,236,O3,SANGAT TIDAK SEHAT,JAKARTA
10/4/2012,76,27,44.0,201,27,201,O3,SANGAT TIDAK SEHAT,JAKARTA
10/5/2012,65,25,47.0,238,18,238,O3,SANGAT TIDAK SEHAT,JAKARTA
10/6/2012,66,28,54.0,212,20,212,O3,SANGAT TIDAK SEHAT,JAKARTA
10/7/2012,62,26,27.0,210,16,210,O3,SANGAT TIDAK SEHAT,JAKARTA
10/8/2012,83,27,37.0,238,20,238,O3,SANGAT TIDAK SEHAT,JAKARTA
10/9/2012,92,34,52.0,205,19,205,O3,SANGAT TIDAK SEHAT,JAKARTA
10/10/2012,69,30,32.0,288,22,288,O3,SANGAT TIDAK SEHAT,JAKARTA
10/11/2012,74,27,31.0,261,19,261,O3,SANGAT TIDAK SEHAT,JAKARTA
10/12/2012,69,31,29.0,266,20,266,O3,SANGAT TIDAK SEHAT,JAKARTA
10/13/2012,109,35,55.0,129,18,129,O3,TIDAK SEHAT,JAKARTA
10/14/2012,93,27,46.0,235,10,235,O3,SANGAT TIDAK SEHAT,JAKARTA
10/15/2012,139,32,63.0,228,21,228,O3,SANGAT TIDAK SEHAT,JAKARTA
10/16/2012,92,29,42.0,257,17,257,O3,SANGAT TIDAK SEHAT,JAKARTA
10/17/2012,116,35,52.0,275,17,275,O3,SANGAT TIDAK SEHAT,JAKARTA
10/18/2012,111,29,41.0,249,15,249,O3,SANGAT TIDAK SEHAT,JAKARTA
10/19/2012,86,29,40.0,274,25,274,O3,SANGAT TIDAK SEHAT,JAKARTA
10/20/2012,95,27,106.0,264,22,264,O3,SANGAT TIDAK SEHAT,JAKARTA
10/21/2012,76,29,62.0,244,11,244,O3,SANGAT TIDAK SEHAT,JAKARTA
10/22/2012,62,25,36.0,254,18,254,O3,SANGAT TIDAK SEHAT,JAKARTA
10/23/2012,77,30,41.0,225,23,225,O3,SANGAT TIDAK SEHAT,JAKARTA
10/24/2012,109,33,48.0,157,19,157,O3,TIDAK SEHAT,JAKARTA
10/25/2012,81,28,33.0,229,21,229,O3,SANGAT TIDAK SEHAT,JAKARTA
10/26/2012,115,24,80.0,247,17,247,O3,SANGAT TIDAK SEHAT,JAKARTA
10/27/2012,69,24,55.0,241,13,241,O3,SANGAT TIDAK SEHAT,JAKARTA
10/28/2012,75,22,73.0,243,14,243,O3,SANGAT TIDAK SEHAT,JAKARTA
10/29/2012,84,28,67.0,231,16,231,O3,SANGAT TIDAK SEHAT,JAKARTA
10/30/2012,68,29,58.0,268,14,268,O3,SANGAT TIDAK SEHAT,JAKARTA
10/31/2012,72,31,42.0,278,21,278,O3,SANGAT TIDAK SEHAT,JAKARTA
11/1/2012,98,31,51.0,276,23,276,O3,SANGAT TIDAK SEHAT,JAKARTA
11/2/2012,85,35,72.0,270,24,270,O3,SANGAT TIDAK SEHAT,JAKARTA
11/3/2012,87,28,61.0,282,24,282,O3,SANGAT TIDAK SEHAT,JAKARTA
11/4/2012,85,29,72.0,314,20,314,O3,BERBAHAYA,JAKARTA
11/5/2012,79,29,78.0,297,27,297,O3,SANGAT TIDAK SEHAT,JAKARTA
11/6/2012,67,30,47.0,270,22,270,O3,SANGAT TIDAK SEHAT,JAKARTA
11/7/2012,80,33,65.0,243,28,243,O3,SANGAT TIDAK SEHAT,JAKARTA
11/8/2012,62,30,42.0,287,20,287,O3,SANGAT TIDAK SEHAT,JAKARTA
11/9/2012,53,26,31.0,264,15,264,O3,SANGAT TIDAK SEHAT,JAKARTA
11/10/2012,65,30,118.0,271,25,271,O3,SANGAT TIDAK SEHAT,JAKARTA
11/11/2012,60,25,28.0,267,22,267,O3,SANGAT TIDAK SEHAT,JAKARTA
11/12/2012,59,27,39.0,246,22,246,O3,SANGAT TIDAK SEHAT,JAKARTA
11/13/2012,62,26,40.0,270,18,270,O3,SANGAT TIDAK SEHAT,JAKARTA
11/14/2012,93,34,83.0,279,23,279,O3,SANGAT TIDAK SEHAT,JAKARTA
11/15/2012,73,30,134.0,261,17,261,O3,SANGAT TIDAK SEHAT,JAKARTA
11/16/2012,83,29,78.0,105,19,105,O3,TIDAK SEHAT,JAKARTA
11/17/2012,79,30,29.0,266,20,266,O3,SANGAT TIDAK SEHAT,JAKARTA
11/18/2012,47,23,17.0,57,12,57,O3,SEDANG,JAKARTA
11/19/2012,51,30,35.0,221,22,221,O3,SANGAT TIDAK SEHAT,JAKARTA
11/20/2012,58,30,43.0,261,19,261,O3,SANGAT TIDAK SEHAT,JAKARTA
11/21/2012,75,32,73.0,154,27,154,O3,TIDAK SEHAT,JAKARTA
11/22/2012,71,30,48.0,185,18,185,O3,TIDAK SEHAT,JAKARTA
11/23/2012,69,33,40.0,203,22,203,O3,SANGAT TIDAK SEHAT,JAKARTA
11/24/2012,53,30,31.0,200,18,200,O3,SANGAT TIDAK SEHAT,JAKARTA
11/25/2012,62,36,38.0,238,18,238,O3,SANGAT TIDAK SEHAT,JAKARTA
11/26/2012,58,34,40.0,203,18,203,O3,SANGAT TIDAK SEHAT,JAKARTA
11/27/2012,84,37,52.0,215,18,215,O3,SANGAT TIDAK SEHAT,JAKARTA
11/28/2012,62,30,47.0,227,16,227,O3,SANGAT TIDAK SEHAT,JAKARTA
11/29/2012,69,32,49.0,218,22,218,O3,SANGAT TIDAK SEHAT,JAKARTA
11/30/2012,76,30,76.0,137,22,137,O3,TIDAK SEHAT,JAKARTA
12/1/2012,59,30,61.0,106,18,106,O3,TIDAK SEHAT,JAKARTA
12/2/2012,66,26,85.0,222,15,222,O3,SANGAT TIDAK SEHAT,JAKARTA
12/3/2012,52,27,58.0,212,14,212,O3,SANGAT TIDAK SEHAT,JAKARTA
12/4/2012,46,31,64.0,202,16,202,O3,SANGAT TIDAK SEHAT,JAKARTA
12/5/2012,57,39,35.0,197,11,197,O3,TIDAK SEHAT,JAKARTA
12/6/2012,63,34,37.0,219,21,219,O3,SANGAT TIDAK SEHAT,JAKARTA
12/7/2012,74,13,58.0,221,19,221,O3,SANGAT TIDAK SEHAT,JAKARTA
12/8/2012,57,9,26.0,210,14,210,O3,SANGAT TIDAK SEHAT,JAKARTA
12/9/2012,58,7,38.0,228,16,228,O3,SANGAT TIDAK SEHAT,JAKARTA
12/10/2012,60,4,28.0,229,16,229,O3,SANGAT TIDAK SEHAT,JAKARTA
12/11/2012,70,13,31.0,209,19,209,O3,SANGAT TIDAK SEHAT,JAKARTA
12/12/2012,72,16,33.0,163,19,163,O3,TIDAK SEHAT,JAKARTA
12/13/2012,64,6,39.0,135,24,135,O3,TIDAK SEHAT,JAKARTA
12/14/2012,68,7,42.0,223,30,223,O3,SANGAT TIDAK SEHAT,JAKARTA
12/15/2012,63,5,61.0,214,17,214,O3,SANGAT TIDAK SEHAT,JAKARTA
12/16/2012,59,8,20.0,215,18,215,O3,SANGAT TIDAK SEHAT,JAKARTA
12/17/2012,53,7,32.0,124,20,124,O3,TIDAK SEHAT,JAKARTA
12/18/2012,49,8,39.0,107,19,107,O3,TIDAK SEHAT,JAKARTA
12/19/2012,65,6,51.0,168,18,168,O3,TIDAK SEHAT,JAKARTA
12/20/2012,66,12,33.0,155,20,155,O3,TIDAK SEHAT,JAKARTA
12/21/2012,55,9,29.0,185,14,185,O3,TIDAK SEHAT,JAKARTA
12/22/2012,52,2,39.0,217,12,217,O3,SANGAT TIDAK SEHAT,JAKARTA
12/23/2012,43,4,35.0,209,13,209,O3,SANGAT TIDAK SEHAT,JAKARTA
12/24/2012,53,9,21.0,178,13,178,O3,TIDAK SEHAT,JAKARTA
12/25/2012,45,4,20.0,192,10,192,O3,TIDAK SEHAT,JAKARTA
12/26/2012,38,3,31.0,205,16,205,O3,SANGAT TIDAK SEHAT,JAKARTA
12/27/2012,45,6,30.0,218,12,218,O3,SANGAT TIDAK SEHAT,JAKARTA
12/28/2012,47,4,23.0,210,11,210,O3,SANGAT TIDAK SEHAT,JAKARTA
12/29/2012,40,4,26.0,215,14,215,O3,SANGAT TIDAK SEHAT,JAKARTA
12/30/2012,38,4,20.0,215,10,215,O3,SANGAT TIDAK SEHAT,JAKARTA
12/31/2012,36,2,15.0,153,7,153,O3,TIDAK SEHAT,JAKARTA
1/1/2013,75,4,27.0,135,10,135,O3,TIDAK SEHAT,JAKARTA
1/2/2013,35,4,26.0,192,8,192,O3,TIDAK SEHAT,JAKARTA
1/3/2013,61,5,36.0,195,9,195,O3,TIDAK SEHAT,JAKARTA
1/4/2013,39,4,13.0,210,10,210,O3,SANGAT TIDAK SEHAT,JAKARTA
1/5/2013,53,5,14.0,111,8,111,O3,TIDAK SEHAT,JAKARTA
1/6/2013,32,3,20.0,150,9,150,O3,TIDAK SEHAT,JAKARTA
1/7/2013,28,4,14.0,170,11,170,O3,TIDAK SEHAT,JAKARTA
1/8/2013,33,2,25.0,31,6,33,PM10,BAIK,JAKARTA
1/9/2013,21,2,18.0,92,7,92,O3,SEDANG,JAKARTA
1/10/2013,24,4,16.0,76,6,76,O3,SEDANG,JAKARTA
1/11/2013,39,5,15.0,53,5,53,O3,SEDANG,JAKARTA
1/12/2013,38,7,16.0,140,6,140,O3,TIDAK SEHAT,JAKARTA
1/13/2013,37,3,37.0,154,11,154,O3,TIDAK SEHAT,JAKARTA
1/14/2013,49,4,26.0,171,13,171,O3,TIDAK SEHAT,JAKARTA
1/15/2013,53,3,40.0,154,22,154,O3,TIDAK SEHAT,JAKARTA
1/16/2013,54,6,37.0,159,20,159,O3,TIDAK SEHAT,JAKARTA
1/17/2013,59,8,42.0,186,18,186,O3,TIDAK SEHAT,JAKARTA
1/18/2013,49,3,37.0,202,27,202,O3,SANGAT TIDAK SEHAT,JAKARTA
1/19/2013,84,7,78.0,110,33,110,O3,TIDAK SEHAT,JAKARTA
1/20/2013,39,3,17.0,152,11,152,O3,TIDAK SEHAT,JAKARTA
1/21/2013,55,6,23.0,170,12,170,O3,TIDAK SEHAT,JAKARTA
1/22/2013,61,6,29.0,195,14,195,O3,TIDAK SEHAT,JAKARTA
1/23/2013,57,9,50.0,139,15,139,O3,TIDAK SEHAT,JAKARTA
1/24/2013,40,5,28.0,135,10,135,O3,TIDAK SEHAT,JAKARTA
1/25/2013,51,8,34.0,155,15,155,O3,TIDAK SEHAT,JAKARTA
1/26/2013,62,9,50.0,144,15,144,O3,TIDAK SEHAT,JAKARTA
1/27/2013,52,5,25.0,122,11,122,O3,TIDAK SEHAT,JAKARTA
1/28/2013,41,5,29.0,195,14,195,O3,TIDAK SEHAT,JAKARTA
1/29/2013,69,7,44.0,184,15,184,O3,TIDAK SEHAT,JAKARTA
1/30/2013,55,5,29.0,151,14,151,O3,TIDAK SEHAT,JAKARTA
1/31/2013,74,9,36.0,195,20,195,O3,TIDAK SEHAT,JAKARTA
2/1/2013,69,19,35.0,158,16,158,O3,TIDAK SEHAT,JAKARTA
2/2/2013,82,6,28.0,209,16,209,O3,SANGAT TIDAK SEHAT,JAKARTA
2/3/2013,69,21,63.0,135,22,135,O3,TIDAK SEHAT,JAKARTA
2/4/2013,87,14,55.0,128,25,128,O3,TIDAK SEHAT,JAKARTA
2/5/2013,59,9,37.0,158,21,158,O3,TIDAK SEHAT,JAKARTA
2/6/2013,52,7,28.0,151,14,151,O3,TIDAK SEHAT,JAKARTA
2/7/2013,59,9,57.0,213,21,213,O3,SANGAT TIDAK SEHAT,JAKARTA
2/8/2013,65,12,33.0,205,22,205,O3,SANGAT TIDAK SEHAT,JAKARTA
2/9/2013,70,7,34.0,180,30,180,O3,TIDAK SEHAT,JAKARTA
2/10/2013,65,20,38.0,185,19,185,O3,TIDAK SEHAT,JAKARTA
2/11/2013,72,21,50.0,164,23,164,O3,TIDAK SEHAT,JAKARTA
2/12/2013,70,17,35.0,158,20,158,O3,TIDAK SEHAT,JAKARTA
2/13/2013,51,10,31.0,213,19,213,O3,SANGAT TIDAK SEHAT,JAKARTA
2/14/2013,69,16,38.0,224,21,224,O3,SANGAT TIDAK SEHAT,JAKARTA
2/15/2013,59,11,34.0,196,17,196,O3,TIDAK SEHAT,JAKARTA
2/16/2013,49,7,21.0,174,11,174,O3,TIDAK SEHAT,JAKARTA
2/17/2013,33,5,20.0,134,10,134,O3,TIDAK SEHAT,JAKARTA
2/18/2013,45,8,33.0,153,15,153,O3,TIDAK SEHAT,JAKARTA
2/19/2013,44,7,32.0,104,14,104,O3,TIDAK SEHAT,JAKARTA
2/20/2013,58,8,42.0,145,13,145,O3,TIDAK SEHAT,JAKARTA
2/21/2013,54,7,44.0,152,19,152,O3,TIDAK SEHAT,JAKARTA
2/22/2013,50,6,25.0,64,11,64,O3,SEDANG,JAKARTA
2/23/2013,49,5,25.0,168,12,168,O3,TIDAK SEHAT,JAKARTA
2/24/2013,59,5,50.0,217,13,217,O3,SANGAT TIDAK SEHAT,JAKARTA
2/25/2013,52,6,24.0,134,15,134,O3,TIDAK SEHAT,JAKARTA
2/26/2013,57,5,31.0,213,14,213,O3,SANGAT TIDAK SEHAT,JAKARTA
2/27/2013,53,5,33.0,230,17,230,O3,SANGAT TIDAK SEHAT,JAKARTA
2/28/2013,47,6,21.0,185,7,185,O3,TIDAK SEHAT,JAKARTA
3/1/2013,48,8,24.0,125,14,125,O3,TIDAK SEHAT,JAKARTA
3/2/2013,54,7,26.0,216,12,216,O3,SANGAT TIDAK SEHAT,JAKARTA
3/3/2013,63,7,33.0,217,14,217,O3,SANGAT TIDAK SEHAT,JAKARTA
3/4/2013,46,5,26.0,217,14,217,O3,SANGAT TIDAK SEHAT,JAKARTA
3/5/2013,44,5,38.0,132,16,132,O3,TIDAK SEHAT,JAKARTA
3/6/2013,103,17,80.0,99,35,103,PM10,TIDAK SEHAT,JAKARTA
3/7/2013,87,20,90.0,166,30,166,O3,TIDAK SEHAT,JAKARTA
3/8/2013,64,12,34.0,183,17,183,O3,TIDAK SEHAT,JAKARTA
3/9/2013,64,12,48.0,213,15,213,O3,SANGAT TIDAK SEHAT,JAKARTA
3/10/2013,58,7,22.0,170,8,170,O3,TIDAK SEHAT,JAKARTA
3/11/2013,51,7,20.0,172,16,172,O3,TIDAK SEHAT,JAKARTA
3/12/2013,75,32,30.0,187,37,187,O3,TIDAK SEHAT,JAKARTA
3/13/2013,58,9,33.0,204,16,204,O3,SANGAT TIDAK SEHAT,JAKARTA
3/14/2013,64,25,17.0,207,19,207,O3,SANGAT TIDAK SEHAT,JAKARTA
3/15/2013,82,15,38.0,205,19,205,O3,SANGAT TIDAK SEHAT,JAKARTA
3/16/2013,67,13,29.0,210,18,210,O3,SANGAT TIDAK SEHAT,JAKARTA
3/17/2013,58,12,33.0,212,13,212,O3,SANGAT TIDAK SEHAT,JAKARTA
3/18/2013,61,11,30.0,176,15,176,O3,TIDAK SEHAT,JAKARTA
3/19/2013,69,36,37.0,206,21,206,O3,SANGAT TIDAK SEHAT,JAKARTA
3/20/2013,68,14,36.0,217,20,217,O3,SANGAT TIDAK SEHAT,JAKARTA
3/21/2013,62,12,35.0,178,19,178,O3,TIDAK SEHAT,JAKARTA
3/22/2013,76,13,42.0,204,21,204,O3,SANGAT TIDAK SEHAT,JAKARTA
3/23/2013,76,19,37.0,168,14,168,O3,TIDAK SEHAT,JAKARTA
3/24/2013,53,15,33.0,198,18,198,O3,TIDAK SEHAT,JAKARTA
3/25/2013,59,15,18.0,197,19,197,O3,TIDAK SEHAT,JAKARTA
3/26/2013,81,19,44.0,198,21,198,O3,TIDAK SEHAT,JAKARTA
3/27/2013,80,16,37.0,187,23,187,O3,TIDAK SEHAT,JAKARTA
3/28/2013,96,17,68.0,213,28,213,O3,SANGAT TIDAK SEHAT,JAKARTA
3/29/2013,79,13,37.0,276,19,276,O3,SANGAT TIDAK SEHAT,JAKARTA
3/30/2013,61,18,23.0,263,18,263,O3,SANGAT TIDAK SEHAT,JAKARTA
3/31/2013,54,10,23.0,267,12,267,O3,SANGAT TIDAK SEHAT,JAKARTA
4/1/2013,56,14,40.0,268,22,268,O3,SANGAT TIDAK SEHAT,JAKARTA
4/2/2013,67,17,40.0,92,23,92,O3,SEDANG,JAKARTA
4/3/2013,71,17,43.0,151,27,151,O3,TIDAK SEHAT,JAKARTA
4/4/2013,65,13,35.0,144,17,144,O3,TIDAK SEHAT,JAKARTA
4/5/2013,56,15,38.0,66,16,66,O3,SEDANG,JAKARTA
4/6/2013,51,20,23.0,132,16,132,O3,TIDAK SEHAT,JAKARTA
4/7/2013,70,9,23.0,63,15,70,PM10,SEDANG,JAKARTA
4/8/2013,56,25,42.0,167,25,167,O3,TIDAK SEHAT,JAKARTA
4/9/2013,56,10,37.0,167,23,167,O3,TIDAK SEHAT,JAKARTA
4/10/2013,63,14,28.0,99,19,99,O3,SEDANG,JAKARTA
4/11/2013,78,14,33.0,93,20,93,O3,SEDANG,JAKARTA
4/12/2013,63,14,33.0,54,21,63,PM10,SEDANG,JAKARTA
4/13/2013,58,8,22.0,38,16,58,PM10,SEDANG,JAKARTA
4/14/2013,114,6,15.0,60,15,114,PM10,TIDAK SEHAT,JAKARTA
4/15/2013,107,6,22.0,93,10,107,PM10,TIDAK SEHAT,JAKARTA
4/16/2013,62,13,30.0,90,22,90,O3,SEDANG,JAKARTA
4/17/2013,69,15,37.0,125,32,125,O3,TIDAK SEHAT,JAKARTA
4/18/2013,49,8,31.0,121,22,121,O3,TIDAK SEHAT,JAKARTA
4/19/2013,60,16,46.0,133,22,133,O3,TIDAK SEHAT,JAKARTA
4/20/2013,67,22,34.0,128,20,128,O3,TIDAK SEHAT,JAKARTA
4/21/2013,75,10,37.0,120,19,120,O3,TIDAK SEHAT,JAKARTA
4/22/2013,56,16,32.0,71,12,71,O3,SEDANG,JAKARTA
4/23/2013,73,18,54.0,77,20,77,O3,SEDANG,JAKARTA
4/24/2013,71,20,33.0,66,16,71,PM10,SEDANG,JAKARTA
4/25/2013,82,14,43.0,140,14,140,O3,TIDAK SEHAT,JAKARTA
4/26/2013,77,20,58.0,99,24,99,O3,SEDANG,JAKARTA
4/27/2013,68,16,26.0,75,11,75,O3,SEDANG,JAKARTA
4/28/2013,72,15,26.0,60,13,72,PM10,SEDANG,JAKARTA
4/29/2013,67,23,18.0,60,14,67,PM10,SEDANG,JAKARTA
4/30/2013,71,19,15.0,68,13,71,PM10,SEDANG,JAKARTA
5/1/2013,71,11,18.0,74,12,74,O3,SEDANG,JAKARTA
5/2/2013,56,12,33.0,83,19,83,O3,SEDANG,JAKARTA
5/3/2013,71,18,27.0,72,13,72,O3,SEDANG,JAKARTA
5/4/2013,78,24,21.0,94,12,94,O3,SEDANG,JAKARTA
5/5/2013,76,17,20.0,69,13,76,PM10,SEDANG,JAKARTA
5/6/2013,89,18,36.0,113,18,113,O3,TIDAK SEHAT,JAKARTA
5/7/2013,89,12,32.0,79,16,89,PM10,SEDANG,JAKARTA
5/8/2013,58,10,31.0,71,17,71,O3,SEDANG,JAKARTA
5/9/2013,67,18,28.0,77,17,77,O3,SEDANG,JAKARTA
5/10/2013,74,13,32.0,117,25,117,O3,TIDAK SEHAT,JAKARTA
5/11/2013,68,48,32.0,110,19,110,O3,TIDAK SEHAT,JAKARTA
5/12/2013,57,11,32.0,110,18,110,O3,TIDAK SEHAT,JAKARTA
5/13/2013,69,16,37.0,47,19,69,PM10,SEDANG,JAKARTA
5/14/2013,90,17,54.0,93,27,93,O3,SEDANG,JAKARTA
5/15/2013,82,19,40.0,56,28,82,PM10,SEDANG,JAKARTA
5/16/2013,69,14,35.0,64,28,69,PM10,SEDANG,JAKARTA
5/17/2013,87,27,30.0,77,18,87,PM10,SEDANG,JAKARTA
5/18/2013,68,27,36.0,135,21,135,O3,TIDAK SEHAT,JAKARTA
5/19/2013,77,18,31.0,133,28,133,O3,TIDAK SEHAT,JAKARTA
5/20/2013,54,14,34.0,154,28,154,O3,TIDAK SEHAT,JAKARTA
5/21/2013,81,19,32.0,127,24,127,O3,TIDAK SEHAT,JAKARTA
5/22/2013,88,36,62.0,58,16,88,PM10,SEDANG,JAKARTA
5/23/2013,68,39,53.0,149,24,149,O3,TIDAK SEHAT,JAKARTA
5/24/2013,63,22,30.0,119,24,119,O3,TIDAK SEHAT,JAKARTA
5/25/2013,77,13,24.0,99,25,99,O3,SEDANG,JAKARTA
5/26/2013,63,17,26.0,103,17,103,O3,TIDAK SEHAT,JAKARTA
5/27/2013,88,20,32.0,90,23,90,O3,SEDANG,JAKARTA
5/28/2013,70,23,33.0,78,25,78,O3,SEDANG,JAKARTA
5/29/2013,79,22,67.0,120,22,120,O3,TIDAK SEHAT,JAKARTA
5/30/2013,59,18,21.0,75,22,75,O3,SEDANG,JAKARTA
5/31/2013,52,13,20.0,60,24,60,O3,SEDANG,JAKARTA
