tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
3/26/2010,48,4,45.0,57,29,57,O3,SEDANG,JAKARTA
3/27/2010,61,18,41.0,59,16,61,PM10,SEDANG,JAKARTA
3/28/2010,56,4,44.0,45,13,56,PM10,SEDANG,JAKARTA
3/29/2010,50,2,34.0,27,25,50,PM10,BAIK,JAKARTA
3/30/2010,44,6,33.0,0,12,44,PM10,BAIK,JAKARTA
3/31/2010,58,5,57.0,0,14,58,PM10,SEDANG,JAKARTA
4/1/2010,59,5,46.0,0,21,59,PM10,SEDANG,JAKARTA
4/2/2010,57,4,31.0,88,18,88,O3,SEDANG,JAKARTA
4/3/2010,37,4,18.0,0,10,37,PM10,BAIK,JAKARTA
4/4/2010,39,0,29.0,0,10,39,PM10,BAIK,JAKARTA
4/5/2010,63,7,50.0,0,22,63,PM10,SEDANG,JAKARTA
4/6/2010,70,9,52.0,0,27,70,PM10,SEDANG,JAKARTA
4/7/2010,70,14,42.0,62,25,70,PM10,SEDANG,JAKARTA
4/8/2010,65,15,54.0,102,27,102,O3,TIDAK SEHAT,JAKARTA
4/9/2010,59,12,46.0,27,15,59,PM10,SEDANG,JAKARTA
4/10/2010,40,10,33.0,33,12,40,PM10,BAIK,JAKARTA
4/11/2010,45,10,31.0,21,11,45,PM10,BAIK,JAKARTA
4/12/2010,66,19,39.0,80,25,80,O3,SEDANG,JAKARTA
4/13/2010,57,17,34.0,80,24,80,O3,SEDANG,JAKARTA
4/14/2010,70,16,40.0,59,21,70,PM10,SEDANG,JAKARTA
4/15/2010,70,13,57.0,41,19,70,PM10,SEDANG,JAKARTA
4/16/2010,38,11,30.0,42,13,42,O3,BAIK,JAKARTA
4/17/2010,38,10,26.0,28,12,38,PM10,BAIK,JAKARTA
4/18/2010,36,9,22.0,27,10,36,PM10,BAIK,JAKARTA
4/19/2010,36,0,24.0,20,10,36,PM10,BAIK,JAKARTA
4/20/2010,39,0,27.0,24,12,39,PM10,BAIK,JAKARTA
4/21/2010,41,0,23.0,30,12,41,PM10,BAIK,JAKARTA
4/22/2010,37,0,34.0,25,14,37,PM10,BAIK,JAKARTA
4/23/2010,29,0,22.0,23,12,29,PM10,BAIK,JAKARTA
4/24/2010,31,0,28.0,36,12,36,O3,BAIK,JAKARTA
4/25/2010,50,0,26.0,55,29,55,O3,SEDANG,JAKARTA
4/26/2010,58,0,31.0,67,29,67,O3,SEDANG,JAKARTA
4/27/2010,67,0,30.0,52,18,67,PM10,SEDANG,JAKARTA
4/28/2010,56,0,26.0,30,15,56,PM10,SEDANG,JAKARTA
4/29/2010,61,0,34.0,61,26,61,PM10,SEDANG,JAKARTA
4/30/2010,76,0,42.0,42,24,76,PM10,SEDANG,JAKARTA
5/1/2010,60,0,24.0,28,10,60,PM10,SEDANG,JAKARTA
5/2/2010,58,16,19.0,31,13,58,PM10,SEDANG,JAKARTA
5/3/2010,60,16,29.0,73,18,73,O3,SEDANG,JAKARTA
5/4/2010,53,13,27.0,31,16,53,PM10,SEDANG,JAKARTA
5/5/2010,53,16,26.0,35,15,53,PM10,SEDANG,JAKARTA
5/6/2010,53,19,25.0,21,11,53,PM10,SEDANG,JAKARTA
5/7/2010,67,19,33.0,33,16,67,PM10,SEDANG,JAKARTA
5/8/2010,57,16,24.0,26,9,57,PM10,SEDANG,JAKARTA
5/9/2010,0,16,28.0,51,16,51,O3,SEDANG,JAKARTA
5/10/2010,0,14,43.0,75,26,75,O3,SEDANG,JAKARTA
5/11/2010,0,14,42.0,60,24,60,O3,SEDANG,JAKARTA
5/12/2010,61,12,50.0,32,19,61,PM10,SEDANG,JAKARTA
5/13/2010,52,15,40.0,65,21,65,O3,SEDANG,JAKARTA
5/14/2010,59,12,46.0,69,26,69,O3,SEDANG,JAKARTA
5/15/2010,52,14,45.0,92,26,92,O3,SEDANG,JAKARTA
5/16/2010,56,12,29.0,65,15,65,O3,SEDANG,JAKARTA
5/17/2010,55,15,55.0,32,16,55,PM10,SEDANG,JAKARTA
5/18/2010,57,17,45.0,50,25,57,PM10,SEDANG,JAKARTA
5/19/2010,69,14,39.0,79,18,79,O3,SEDANG,JAKARTA
5/20/2010,58,14,38.0,57,21,58,PM10,SEDANG,JAKARTA
5/21/2010,53,14,37.0,60,18,60,O3,SEDANG,JAKARTA
5/22/2010,63,16,50.0,54,21,63,PM10,SEDANG,JAKARTA
5/23/2010,57,14,28.0,50,23,57,PM10,SEDANG,JAKARTA
5/24/2010,54,15,37.0,42,21,54,PM10,SEDANG,JAKARTA
5/25/2010,56,18,34.0,43,18,56,PM10,SEDANG,JAKARTA
5/26/2010,55,15,41.0,123,34,123,O3,TIDAK SEHAT,JAKARTA
5/27/2010,58,17,50.0,113,29,113,O3,TIDAK SEHAT,JAKARTA
5/28/2010,68,21,49.0,24,25,68,PM10,SEDANG,JAKARTA
5/29/2010,54,16,30.0,28,14,54,PM10,SEDANG,JAKARTA
5/30/2010,59,14,41.0,64,16,64,O3,SEDANG,JAKARTA
5/31/2010,56,16,33.0,25,15,56,PM10,SEDANG,JAKARTA
6/1/2010,55,20,35.0,31,20,55,PM10,SEDANG,JAKARTA
6/2/2010,58,14,42.0,93,26,93,O3,SEDANG,JAKARTA
6/3/2010,72,19,38.0,55,22,72,PM10,SEDANG,JAKARTA
6/4/2010,59,18,36.0,30,19,59,PM10,SEDANG,JAKARTA
6/5/2010,57,15,39.0,87,21,87,O3,SEDANG,JAKARTA
6/6/2010,59,18,47.0,42,25,59,PM10,SEDANG,JAKARTA
6/7/2010,70,16,39.0,52,21,70,PM10,SEDANG,JAKARTA
6/8/2010,77,19,95.0,18,30,95,CO,SEDANG,JAKARTA
