tanggal,pm10,so2,co,o3,no2,max
7/9/2014,106,14,83.0,62,29,106
7/10/2014,53,15,29.0,91,15,91
7/11/2014,58,15,24.0,53,13,58
7/12/2014,83,17,41.0,60,20,83
7/13/2014,70,11,52.0,41,26,70
7/14/2014,55,12,33.0,140,20,140
7/15/2014,70,23,30.0,84,19,84
7/16/2014,56,12,45.0,94,23,94
7/17/2014,68,19,37.0,89,21,89
7/18/2014,71,22,36.0,76,21,76
7/19/2014,68,13,30.0,86,24,86
7/20/2014,65,13,39.0,65,14,65
7/21/2014,67,14,38.0,87,21,87
7/22/2014,60,18,32.0,104,18,104
7/23/2014,53,12,27.0,91,16,91
7/24/2014,60,16,29.0,70,19,70
7/25/2014,68,13,46.0,68,16,68
7/26/2014,53,12,27.0,63,14,63
7/27/2014,41,12,26.0,60,11,60
7/28/2014,60,12,39.0,90,13,90
7/29/2014,36,12,13.0,87,14,87
7/30/2014,52,23,19.0,54,11,54
7/31/2014,51,16,13.0,84,9,84
8/1/2014,56,13,14.0,80,10,80
8/2/2014,63,13,13.0,74,12,74
8/3/2014,77,13,22.0,77,11,77
8/4/2014,60,20,24.0,65,12,65
8/5/2014,59,14,18.0,61,11,61
8/6/2014,57,31,14.0,51,8,57
8/7/2014,64,19,21.0,63,13,64
8/8/2014,70,21,27.0,74,14,74
8/9/2014,71,17,24.0,93,15,93
8/10/2014,70,19,17.0,88,18,88
8/11/2014,66,23,26.0,65,14,66
8/12/2014,66,19,34.0,99,18,99
8/13/2014,65,15,32.0,98,17,98
8/14/2014,73,17,24.0,72,15,73
8/15/2014,70,17,30.0,82,19,82
8/16/2014,58,16,26.0,85,15,85
8/17/2014,66,19,24.0,86,16,86
8/18/2014,70,26,29.0,80,16,80
8/19/2014,82,20,25.0,98,21,98
8/20/2014,75,18,31.0,104,20,104
8/21/2014,93,17,28.0,88,18,93
8/22/2014,108,14,25.0,63,20,108
8/23/2014,76,16,18.0,84,13,84
8/24/2014,75,14,15.0,82,9,82
8/25/2014,72,15,30.0,90,25,90
8/26/2014,72,19,31.0,97,20,97
8/27/2014,84,15,26.0,88,18,88
8/28/2014,76,15,24.0,78,14,78
8/29/2014,76,15,27.0,73,17,76
8/30/2014,78,15,27.0,92,22,92
8/31/2014,80,14,17.0,83,14,83
9/1/2014,68,16,20.0,75,15,75
9/2/2014,73,16,27.0,93,17,93
9/3/2014,87,17,26.0,101,18,101
9/4/2014,85,15,29.0,115,18,115
9/5/2014,76,16,32.0,88,25,88
9/6/2014,61,14,30.0,97,18,97
9/7/2014,68,15,27.0,89,18,89
9/8/2014,77,16,27.0,80,21,80
9/9/2014,86,16,28.0,106,21,106
9/10/2014,75,17,27.0,83,21,83
9/11/2014,81,19,25.0,89,17,89
9/12/2014,79,17,24.0,87,22,87
9/13/2014,79,17,22.0,91,20,91
9/14/2014,77,17,16.0,88,19,88
9/15/2014,72,18,27.0,102,22,102
9/16/2014,83,17,27.0,112,24,112
9/17/2014,82,18,21.0,75,18,82
9/18/2014,80,20,24.0,81,18,81
9/19/2014,77,16,21.0,69,14,77
9/20/2014,74,19,18.0,86,15,86
9/21/2014,77,15,38.0,90,21,90
9/22/2014,72,15,31.0,79,19,79
9/23/2014,69,16,26.0,76,16,76
9/24/2014,99,21,20.0,63,16,99
9/25/2014,78,19,28.0,124,24,124
9/26/2014,93,18,28.0,107,22,107
9/27/2014,85,21,27.0,78,21,85
9/28/2014,90,17,32.0,79,20,90
9/29/2014,78,15,28.0,93,17,93
9/30/2014,74,26,31.0,77,24,77
10/1/2014,102,16,41.0,67,20,102
10/2/2014,74,16,30.0,74,18,74
10/3/2014,78,16,27.0,83,18,83
10/4/2014,74,16,18.0,62,15,74
10/5/2014,78,15,26.0,80,17,80
10/6/2014,82,27,22.0,124,25,124
10/7/2014,83,27,20.0,77,18,83
10/8/2014,72,17,17.0,89,17,89
10/9/2014,66,20,14.0,78,18,78
10/10/2014,75,17,22.0,81,22,81
10/11/2014,86,20,30.0,121,23,121
10/12/2014,105,18,28.0,106,20,106
10/13/2014,100,16,33.0,131,18,131
10/14/2014,77,15,26.0,73,15,77
10/15/2014,81,15,22.0,89,17,89
10/16/2014,92,19,35.0,78,24,92
10/17/2014,93,17,28.0,71,16,93
10/18/2014,91,16,27.0,70,20,91
10/19/2014,94,20,34.0,73,19,94
10/20/2014,77,16,21.0,78,18,78
10/21/2014,81,20,22.0,63,16,81
10/22/2014,83,23,23.0,72,22,83
10/23/2014,86,18,27.0,116,27,116
10/24/2014,100,17,27.0,81,21,100
10/25/2014,116,21,41.0,82,16,116
10/26/2014,86,19,36.0,92,15,92
10/27/2014,64,18,32.0,85,24,85
10/28/2014,70,15,27.0,112,21,112
10/29/2014,84,20,25.0,75,19,84
10/30/2014,71,16,30.0,61,18,71
10/31/2014,83,20,26.0,65,19,83
11/1/2014,58,16,22.0,96,21,96
11/2/2014,92,16,32.0,107,19,107
11/3/2014,74,25,25.0,93,21,93
11/4/2014,70,20,28.0,94,23,94
11/5/2014,59,17,27.0,71,22,71
11/6/2014,71,17,31.0,90,20,90
11/7/2014,82,16,33.0,94,21,94
11/8/2014,70,19,30.0,146,19,146
11/9/2014,69,15,32.0,94,24,94
11/10/2014,61,15,34.0,99,24,99
11/11/2014,55,14,31.0,103,18,103
11/12/2014,69,16,38.0,83,22,83
11/13/2014,67,25,28.0,100,25,100
11/14/2014,70,24,35.0,87,22,87
11/15/2014,79,23,41.0,103,27,103
11/16/2014,67,19,24.0,104,21,104
11/17/2014,47,18,27.0,70,19,70
11/18/2014,51,26,37.0,82,19,82
11/19/2014,66,18,30.0,104,18,104
11/20/2014,50,21,34.0,90,20,90
11/21/2014,62,15,33.0,72,16,72
11/22/2014,64,18,44.0,82,20,82
11/23/2014,78,17,38.0,58,14,78
11/24/2014,65,15,29.0,105,17,105
11/25/2014,50,16,30.0,92,17,92
11/26/2014,59,16,30.0,93,21,93
11/27/2014,80,19,40.0,100,25,100
11/28/2014,66,17,32.0,140,23,140
11/29/2014,79,23,64.0,74,30,79
11/30/2014,37,14,26.0,51,15,51
12/1/2014,33,14,20.0,34,12,34
12/2/2014,47,16,24.0,49,13,49
12/3/2014,39,14,23.0,52,11,52
12/4/2014,54,15,29.0,77,19,77
12/5/2014,68,18,28.0,103,23,103
12/6/2014,54,14,43.0,53,13,54
12/7/2014,55,15,51.0,56,11,56
12/8/2014,30,15,19.0,52,11,52
12/9/2014,42,16,39.0,47,12,47
12/10/2014,45,17,31.0,51,18,51
12/11/2014,61,18,28.0,48,17,61
12/12/2014,52,16,23.0,48,14,52
12/13/2014,59,16,24.0,58,12,59
12/14/2014,50,19,23.0,46,12,50
12/15/2014,41,16,23.0,41,12,41
12/16/2014,72,17,26.0,56,19,72
12/17/2014,47,15,25.0,52,13,52
12/18/2014,56,29,23.0,37,10,56
12/19/2014,62,34,30.0,46,15,62
12/20/2014,37,30,30.0,42,13,42
12/21/2014,67,34,47.0,48,15,67
12/22/2014,42,25,33.0,79,19,79
12/23/2014,39,10,37.0,55,18,55
12/24/2014,69,11,43.0,137,19,137
12/25/2014,59,12,37.0,130,16,130
12/26/2014,52,14,30.0,71,14,71
12/27/2014,30,9,32.0,40,16,40
12/28/2014,40,10,42.0,137,22,137
12/29/2014,31,9,25.0,201,6,201
12/30/2014,36,10,28.0,81,11,81
12/31/2014,24,9,25.0,217,11,217
1/1/2015,49,10,39.0,27,10,49
1/2/2015,28,9,26.0,48,10,48
1/3/2015,27,10,28.0,44,10,44
1/4/2015,22,9,28.0,42,12,42
1/5/2015,25,9,25.0,32,7,32
1/6/2015,29,9,26.0,37,11,37
1/7/2015,32,10,32.0,35,12,35
1/8/2015,48,10,25.0,40,13,48
1/9/2015,24,10,24.0,32,7,32
1/10/2015,25,10,24.0,43,8,43
1/11/2015,34,11,23.0,41,11,41
1/12/2015,37,11,28.0,37,13,37
1/13/2015,45,11,39.0,35,18,45
1/14/2015,41,11,44.0,40,17,44
1/15/2015,39,10,34.0,47,20,47
1/16/2015,57,16,61.0,40,17,61
1/17/2015,39,11,30.0,43,15,43
1/18/2015,46,11,36.0,45,18,46
1/19/2015,54,11,39.0,41,16,54
1/20/2015,70,13,72.0,51,24,72
1/21/2015,56,12,61.0,40,16,61
1/22/2015,45,11,36.0,36,15,45
1/23/2015,49,10,50.0,41,23,50
1/24/2015,71,13,72.0,65,21,72
1/25/2015,35,11,29.0,67,18,67
1/26/2015,53,14,41.0,59,14,59
1/27/2015,68,12,51.0,49,13,68
1/28/2015,57,14,46.0,65,15,65
1/29/2015,55,13,34.0,61,17,61
1/30/2015,52,12,46.0,50,13,52
1/31/2015,54,14,32.0,41,15,54
2/1/2015,42,7,30.0,42,12,42
2/2/2015,50,6,49.0,42,21,50
2/3/2015,76,8,69.0,50,15,76
2/4/2015,68,10,59.0,55,23,68
2/5/2015,47,9,33.0,58,17,58
2/6/2015,30,8,52.0,49,13,52
2/7/2015,51,9,33.0,53,15,53
2/8/2015,49,9,34.0,46,12,49
2/9/2015,27,8,45.0,36,14,45
2/10/2015,23,9,42.0,46,11,46
2/11/2015,56,9,68.0,40,11,68
2/12/2015,72,10,54.0,50,22,72
2/13/2015,48,10,37.0,48,15,48
2/14/2015,58,13,57.0,48,16,58
2/15/2015,67,13,71.0,44,12,71
2/16/2015,69,13,56.0,72,18,72
2/17/2015,49,13,57.0,63,13,63
2/18/2015,56,19,48.0,66,24,66
2/19/2015,40,13,34.0,42,13,42
2/20/2015,52,24,42.0,68,20,68
2/21/2015,98,15,60.0,62,27,98
2/22/2015,71,15,37.0,57,23,71
2/23/2015,63,16,32.0,46,15,63
2/24/2015,70,17,42.0,70,17,70
2/25/2015,85,20,45.0,121,18,121
2/26/2015,87,19,35.0,147,31,147
2/27/2015,83,16,38.0,129,21,129
2/28/2015,78,17,43.0,65,19,78
3/1/2015,86,16,48.0,39,16,86
3/2/2015,57,17,40.0,41,18,57
3/3/2015,62,19,33.0,50,18,62
3/4/2015,59,16,41.0,38,19,59
3/5/2015,51,14,29.0,44,15,51
3/6/2015,66,17,44.0,70,18,70
3/7/2015,53,15,27.0,59,20,59
3/8/2015,46,14,36.0,36,17,46
3/9/2015,51,15,33.0,45,17,51
3/10/2015,49,14,36.0,63,25,63
3/11/2015,44,14,27.0,62,15,62
3/12/2015,43,16,29.0,48,12,48
3/13/2015,66,16,61.0,49,24,66
3/14/2015,72,17,44.0,52,13,72
3/15/2015,64,16,30.0,49,14,64
3/16/2015,55,14,52.0,71,19,71
3/17/2015,66,20,46.0,85,21,85
3/18/2015,75,22,35.0,104,25,104
3/19/2015,68,16,33.0,130,26,130
3/20/2015,57,15,30.0,127,30,127
3/21/2015,52,14,30.0,92,16,92
3/22/2015,63,16,36.0,113,17,113
3/23/2015,53,17,33.0,155,28,155
3/24/2015,76,17,46.0,94,20,94
3/25/2015,75,21,44.0,57,20,75
3/26/2015,66,15,43.0,62,21,66
3/27/2015,67,17,58.0,83,20,83
3/28/2015,68,17,33.0,77,17,77
3/29/2015,78,15,53.0,74,12,78
3/30/2015,69,14,47.0,76,17,76
3/31/2015,80,17,29.0,72,18,80
4/1/2015,65,19,37.0,80,21,80
4/2/2015,67,13,45.0,88,22,88
4/3/2015,51,14,50.0,54,17,54
4/4/2015,75,18,52.0,108,21,108
4/5/2015,75,19,45.0,77,23,77
4/6/2015,71,17,41.0,61,20,71
4/7/2015,57,17,29.0,33,12,57
4/8/2015,65,15,46.0,86,19,86
4/9/2015,69,14,42.0,86,23,86
4/10/2015,87,18,64.0,87,39,87
4/11/2015,59,17,36.0,62,15,62
4/12/2015,62,22,35.0,88,25,88
4/13/2015,74,21,35.0,65,17,74
4/14/2015,74,22,54.0,67,30,74
4/15/2015,64,17,37.0,83,19,83
4/16/2015,73,18,36.0,87,21,87
4/17/2015,64,18,37.0,54,16,64
4/18/2015,84,22,47.0,74,19,84
4/19/2015,83,18,48.0,111,21,111
4/20/2015,61,22,42.0,98,21,98
4/21/2015,76,25,45.0,101,30,101
4/22/2015,71,17,36.0,119,19,119
4/23/2015,40,16,26.0,46,10,46
4/24/2015,34,15,28.0,39,7,39
4/25/2015,32,15,30.0,40,14,40
4/26/2015,53,16,39.0,43,16,53
4/27/2015,53,16,47.0,67,9,67
4/28/2015,46,15,28.0,42,12,46
4/29/2015,50,15,27.0,42,12,50
4/30/2015,40,15,28.0,51,16,51
5/1/2015,57,17,33.0,105,20,105
5/2/2015,82,19,53.0,99,16,99
5/3/2015,65,21,35.0,96,22,96
5/4/2015,55,19,43.0,71,16,71
5/5/2015,73,22,61.0,62,23,73
5/6/2015,79,19,45.0,48,22,79
5/7/2015,59,18,29.0,67,15,67
5/8/2015,72,22,27.0,53,15,72
5/9/2015,83,15,40.0,83,16,83
5/10/2015,57,19,28.0,76,19,76
5/11/2015,65,23,28.0,47,30,65
5/12/2015,77,20,42.0,57,16,77
5/13/2015,75,24,33.0,63,43,75
5/14/2015,67,18,28.0,61,22,67
5/15/2015,60,17,38.0,53,63,63
5/16/2015,68,17,46.0,92,17,92
5/17/2015,67,17,37.0,66,42,67
5/18/2015,77,18,32.0,77,30,77
5/19/2015,84,18,31.0,105,19,105
5/20/2015,83,18,30.0,97,22,97
5/21/2015,87,18,32.0,84,19,87
5/22/2015,85,19,27.0,90,17,90
5/23/2015,93,22,36.0,90,18,93
5/24/2015,87,24,34.0,77,17,87
5/25/2015,83,20,29.0,83,14,83
5/26/2015,78,19,41.0,85,17,85
5/27/2015,96,20,32.0,74,16,96
5/28/2015,69,20,24.0,37,11,69
5/29/2015,64,20,30.0,64,22,64
5/30/2015,74,20,36.0,70,18,74
5/31/2015,70,20,53.0,83,14,83
6/1/2015,74,20,35.0,53,17,74
6/2/2015,89,20,45.0,77,17,89
6/3/2015,61,19,30.0,84,16,84
6/4/2015,79,19,42.0,60,12,79
6/5/2015,63,21,31.0,51,16,63
6/6/2015,79,25,42.0,60,22,79
6/7/2015,86,22,37.0,65,16,86
6/8/2015,85,21,45.0,54,15,85
6/9/2015,91,21,43.0,51,18,91
6/10/2015,78,27,49.0,93,21,93
6/11/2015,71,19,44.0,90,28,90
6/12/2015,86,24,43.0,107,19,107
6/13/2015,81,30,39.0,94,32,94
6/14/2015,89,30,37.0,113,22,113
6/15/2015,85,28,36.0,108,26,108
6/16/2015,92,32,47.0,115,29,115
6/17/2015,115,37,48.0,78,25,115
6/18/2015,83,34,29.0,80,19,83
6/19/2015,79,32,30.0,87,28,87
6/20/2015,79,37,34.0,77,25,79
6/21/2015,92,31,28.0,99,17,99
6/22/2015,98,26,31.0,97,20,98
6/23/2015,109,30,32.0,98,30,109
6/24/2015,86,34,34.0,94,29,94
6/25/2015,101,33,38.0,72,23,101
6/26/2015,114,34,31.0,67,18,114
6/27/2015,105,33,34.0,61,12,105
6/28/2015,72,26,26.0,84,15,84
6/29/2015,94,28,35.0,101,22,101
6/30/2015,95,31,33.0,101,22,101
7/1/2015,83,32,30.0,86,24,86
7/2/2015,86,34,37.0,93,21,93
7/3/2015,75,35,31.0,99,19,99
7/4/2015,77,40,22.0,94,22,94
7/5/2015,114,35,52.0,87,20,114
7/6/2015,84,34,25.0,95,21,95
7/7/2015,83,37,27.0,123,27,123
7/8/2015,81,33,26.0,109,21,109
7/9/2015,81,32,21.0,95,22,95
7/10/2015,73,35,27.0,86,27,86
7/11/2015,70,47,26.0,77,15,77
7/12/2015,63,29,23.0,64,13,64
7/13/2015,60,31,23.0,54,11,60
7/14/2015,70,33,25.0,53,12,70
7/15/2015,60,32,25.0,39,12,60
7/16/2015,55,31,21.0,45,9,55
7/17/2015,56,31,31.0,44,8,56
7/18/2015,52,30,22.0,58,8,58
7/19/2015,54,29,21.0,56,8,56
7/20/2015,55,30,22.0,61,9,61
7/21/2015,72,30,22.0,64,9,72
7/22/2015,62,27,22.0,61,10,62
7/23/2015,63,28,30.0,56,11,63
7/24/2015,59,29,23.0,53,10,59
7/25/2015,66,32,24.0,79,12,79
7/26/2015,110,28,27.0,80,30,110
7/27/2015,69,27,26.0,82,17,82
7/28/2015,65,34,26.0,66,16,66
7/29/2015,71,33,26.0,54,17,71
7/30/2015,80,33,28.0,73,15,80
7/31/2015,79,32,27.0,82,22,82
8/1/2015,81,32,29.0,91,20,91
8/2/2015,86,27,28.0,94,15,94
8/3/2015,67,35,25.0,69,17,69
8/4/2015,101,38,37.0,86,24,101
8/5/2015,91,35,21.0,73,20,91
8/6/2015,86,34,24.0,84,19,86
8/7/2015,62,31,19.0,88,18,88
8/8/2015,70,27,22.0,95,22,95
8/9/2015,76,30,31.0,71,20,76
8/10/2015,68,29,23.0,59,13,68
8/11/2015,75,29,24.0,74,15,75
8/12/2015,66,26,21.0,74,22,74
8/13/2015,92,25,28.0,83,19,92
8/14/2015,65,25,22.0,56,13,65
8/15/2015,70,29,22.0,75,16,75
8/16/2015,69,27,20.0,68,11,69
8/17/2015,72,29,18.0,77,14,77
8/18/2015,78,29,23.0,79,18,79
8/19/2015,88,29,24.0,82,16,88
8/20/2015,94,27,25.0,92,28,94
8/21/2015,79,29,22.0,98,22,98
8/22/2015,94,32,18.0,96,19,96
8/23/2015,97,31,22.0,77,20,97
8/24/2015,87,33,24.0,84,21,87
8/25/2015,96,34,25.0,102,21,102
8/26/2015,110,35,24.0,95,26,110
8/27/2015,97,34,25.0,83,22,97
8/28/2015,88,32,23.0,75,24,88
8/29/2015,81,32,26.0,100,15,100
8/30/2015,80,30,19.0,75,13,80
8/31/2015,69,31,19.0,105,24,105
9/1/2015,78,34,19.0,71,24,78
9/2/2015,86,39,23.0,70,25,86
9/3/2015,101,37,23.0,61,21,101
9/4/2015,89,35,22.0,74,19,89
9/5/2015,80,33,20.0,71,18,80
9/6/2015,89,32,21.0,75,16,89
9/7/2015,82,33,24.0,83,20,83
9/8/2015,86,33,25.0,102,18,102
9/9/2015,94,31,28.0,96,23,96
9/10/2015,71,35,35.0,99,24,99
9/11/2015,70,34,25.0,79,18,79
9/12/2015,70,31,20.0,78,17,78
9/13/2015,62,29,20.0,87,13,87
9/14/2015,70,33,17.0,114,24,114
9/15/2015,75,33,27.0,91,23,91
9/16/2015,76,31,23.0,71,17,76
9/17/2015,96,33,24.0,80,16,96
9/18/2015,94,31,22.0,67,14,94
9/19/2015,100,33,23.0,68,17,100
9/20/2015,116,30,28.0,92,19,116
9/21/2015,112,32,27.0,120,22,120
9/22/2015,114,34,31.0,80,24,114
9/23/2015,93,37,43.0,92,26,93
9/24/2015,98,33,40.0,95,23,98
9/25/2015,88,32,21.0,91,19,91
9/26/2015,77,34,28.0,68,18,77
9/27/2015,80,32,22.0,78,13,80
9/28/2015,76,30,25.0,94,19,94
9/29/2015,105,31,30.0,69,20,105
9/30/2015,92,33,25.0,67,23,92
10/1/2015,121,36,28.0,69,33,121
10/2/2015,107,33,33.0,57,16,107
10/3/2015,108,32,27.0,54,13,108
10/4/2015,121,33,26.0,66,11,121
10/5/2015,86,31,23.0,81,21,86
10/6/2015,93,33,31.0,95,22,95
10/7/2015,78,30,31.0,97,25,97
10/8/2015,70,27,25.0,97,23,97
10/9/2015,79,29,34.0,78,22,79
10/10/2015,80,31,36.0,69,18,80
10/11/2015,87,32,34.0,59,11,87
10/12/2015,80,32,26.0,92,21,92
10/13/2015,80,28,25.0,80,22,80
10/14/2015,76,29,35.0,82,21,82
10/15/2015,89,32,30.0,75,19,89
10/16/2015,55,34,27.0,73,24,73
10/17/2015,78,36,38.0,58,19,78
10/18/2015,91,33,56.0,108,20,108
10/19/2015,83,36,35.0,104,22,104
10/20/2015,100,35,25.0,90,23,100
10/21/2015,112,33,30.0,71,23,112
10/22/2015,79,34,22.0,70,16,79
10/23/2015,93,34,28.0,86,26,93
10/24/2015,122,34,43.0,97,25,122
10/25/2015,116,29,31.0,83,19,116
10/26/2015,121,29,34.0,84,24,121
10/27/2015,108,33,34.0,123,27,123
10/28/2015,100,29,32.0,86,21,100
10/29/2015,93,30,34.0,94,24,94
10/30/2015,92,28,35.0,77,22,92
10/31/2015,93,29,35.0,120,26,120
11/1/2015,103,28,28.0,119,19,119
11/2/2015,84,28,40.0,91,24,91
11/3/2015,65,27,25.0,117,17,117
11/4/2015,75,28,26.0,84,19,84
11/5/2015,89,28,34.0,89,19,89
11/6/2015,82,28,27.0,103,20,103
11/7/2015,90,31,29.0,87,24,90
11/8/2015,78,29,58.0,81,20,81
11/9/2015,57,29,29.0,112,18,112
11/10/2015,65,30,25.0,105,23,105
11/11/2015,90,30,31.0,91,25,91
11/12/2015,78,30,37.0,108,22,108
11/13/2015,65,28,23.0,74,21,74
11/14/2015,59,28,25.0,73,24,73
11/15/2015,73,28,37.0,64,15,73
11/16/2015,58,28,22.0,89,15,89
11/17/2015,56,30,23.0,87,23,87
11/18/2015,74,31,32.0,71,18,74
11/19/2015,71,29,28.0,50,17,71
11/20/2015,74,29,30.0,81,20,81
11/21/2015,75,30,41.0,86,24,86
11/22/2015,81,29,40.0,88,18,88
11/23/2015,70,29,30.0,79,19,79
11/24/2015,72,29,33.0,77,16,77
11/25/2015,67,29,29.0,100,27,100
11/26/2015,70,29,27.0,117,24,117
11/27/2015,72,29,28.0,85,22,85
11/28/2015,107,21,54.0,143,24,143
11/29/2015,73,29,27.0,98,17,98
11/30/2015,79,29,45.0,105,21,105
12/1/2015,76,19,37.0,106,28,106
12/2/2015,72,20,25.0,111,20,111
12/3/2015,71,32,32.0,82,26,82
12/4/2015,66,30,30.0,84,24,84
12/5/2015,74,31,43.0,103,25,103
12/6/2015,71,34,40.0,79,20,79
12/7/2015,52,31,31.0,63,15,63
12/8/2015,70,32,25.0,57,21,70
12/9/2015,62,31,31.0,65,20,65
12/10/2015,63,28,22.0,85,20,85
12/11/2015,66,27,31.0,85,23,85
12/12/2015,61,25,27.0,90,19,90
12/13/2015,61,25,49.0,61,17,61
12/14/2015,35,21,24.0,40,9,40
12/15/2015,37,22,19.0,42,8,42
12/16/2015,36,19,19.0,44,11,44
12/17/2015,39,19,18.0,24,10,39
12/18/2015,46,18,19.0,44,12,46
12/19/2015,68,18,19.0,75,13,75
12/20/2015,51,18,35.0,97,13,97
12/21/2015,37,18,21.0,36,10,37
12/22/2015,48,18,19.0,28,9,48
12/23/2015,41,19,19.0,31,13,41
12/24/2015,44,18,30.0,33,8,44
12/25/2015,41,19,25.0,52,12,52
12/26/2015,44,19,30.0,46,9,46
12/27/2015,53,21,28.0,47,15,53
12/28/2015,55,21,30.0,45,18,55
12/29/2015,61,22,34.0,41,17,61
12/30/2015,55,22,24.0,50,14,55
12/31/2015,43,19,29.0,51,9,51
1/1/2016,72,32,53.0,51,11,72
1/2/2016,52,32,29.0,50,12,52
1/3/2016,44,33,33.0,50,18,50
1/4/2016,61,33,36.0,103,24,103
1/5/2016,99,33,54.0,67,22,99
1/6/2016,75,33,43.0,55,17,75
1/7/2016,75,33,31.0,70,13,75
1/8/2016,60,33,30.0,62,9,62
1/9/2016,77,33,34.0,68,9,77
1/10/2016,83,39,38.0,86,15,86
1/11/2016,82,38,36.0,93,14,93
1/12/2016,72,37,38.0,60,20,72
1/13/2016,65,37,43.0,57,16,65
1/14/2016,59,38,33.0,53,18,59
1/15/2016,68,42,39.0,60,11,68
1/16/2016,68,42,34.0,95,15,95
1/17/2016,94,42,39.0,149,17,149
1/18/2016,96,44,43.0,107,21,107
1/19/2016,77,45,31.0,83,18,83
1/20/2016,61,44,39.0,69,18,69
1/21/2016,66,48,35.0,73,14,73
1/22/2016,79,41,59.0,52,15,79
1/23/2016,55,40,37.0,51,14,55
1/24/2016,55,41,42.0,48,14,55
1/25/2016,37,40,32.0,49,13,49
1/26/2016,61,42,47.0,54,16,61
1/27/2016,80,43,58.0,81,21,81
1/28/2016,64,42,30.0,77,15,77
1/29/2016,69,44,29.0,83,16,83
1/30/2016,80,42,24.0,62,14,80
1/31/2016,80,42,25.0,51,12,80
2/1/2016,71,42,22.0,49,11,71
2/2/2016,52,40,29.0,51,17,52
2/3/2016,41,43,27.0,57,15,57
2/4/2016,68,45,25.0,60,18,68
2/5/2016,61,45,27.0,60,17,61
2/6/2016,65,45,35.0,87,17,87
2/7/2016,64,39,38.0,59,11,64
2/8/2016,49,40,27.0,48,10,49
2/9/2016,22,41,19.0,53,7,53
2/10/2016,39,43,30.0,44,10,44
2/11/2016,53,43,51.0,65,11,65
2/12/2016,46,43,40.0,52,15,52
2/13/2016,73,31,99.0,114,23,114
2/14/2016,68,28,54.0,96,15,96
2/15/2016,55,28,44.0,63,12,63
2/16/2016,84,28,33.0,52,15,84
2/17/2016,71,27,33.0,58,11,71
2/18/2016,64,28,72.0,65,16,72
2/19/2016,78,27,56.0,85,16,85
2/20/2016,78,27,47.0,68,15,78
2/21/2016,83,27,42.0,65,14,83
2/22/2016,65,26,42.0,64,13,65
2/23/2016,63,27,39.0,79,21,79
2/24/2016,66,27,33.0,60,14,66
2/25/2016,46,26,33.0,62,15,62
2/26/2016,49,27,32.0,57,18,57
2/27/2016,55,27,37.0,57,12,57
2/28/2016,46,26,26.0,70,12,70
2/29/2016,53,26,30.0,60,15,60
3/1/2016,27,26,27.0,59,11,59
3/2/2016,52,26,32.0,51,14,52
3/3/2016,52,26,54.0,52,16,54
3/4/2016,68,26,40.0,54,12,68
3/5/2016,53,26,30.0,58,12,58
3/6/2016,80,26,43.0,72,16,80
3/7/2016,54,26,31.0,102,18,102
3/8/2016,74,26,28.0,81,17,81
3/9/2016,80,26,39.0,99,18,99
3/10/2016,71,26,39.0,133,25,133
3/11/2016,65,26,33.0,98,20,98
3/12/2016,61,26,36.0,109,24,109
3/13/2016,65,26,35.0,78,15,78
3/14/2016,74,26,43.0,71,21,74
3/15/2016,71,26,37.0,173,20,173
3/16/2016,60,26,40.0,119,19,119
3/17/2016,64,26,30.0,120,16,120
3/18/2016,55,26,44.0,61,15,61
3/19/2016,65,26,26.0,91,14,91
3/20/2016,62,26,30.0,91,11,91
3/21/2016,66,26,35.0,63,14,66
3/22/2016,76,26,45.0,74,21,76
3/23/2016,39,26,25.0,74,10,74
3/24/2016,52,26,27.0,122,14,122
3/25/2016,72,26,50.0,136,15,136
3/26/2016,72,26,55.0,128,16,128
3/27/2016,63,26,53.0,88,20,88
3/28/2016,63,21,38.0,63,11,63
3/29/2016,58,26,30.0,93,12,93
3/30/2016,74,27,50.0,64,20,74
3/31/2016,81,26,52.0,64,13,81
4/1/2016,81,27,66.0,84,17,84
4/2/2016,57,26,37.0,102,13,102
4/3/2016,58,27,48.0,80,15,80
4/4/2016,50,27,39.0,66,11,66
4/5/2016,54,27,40.0,66,11,66
4/6/2016,67,27,42.0,98,12,98
4/7/2016,64,27,44.0,77,16,77
4/8/2016,65,27,38.0,49,19,65
4/9/2016,70,26,39.0,94,22,94
4/10/2016,61,26,45.0,76,16,76
4/11/2016,80,27,44.0,139,13,139
4/12/2016,99,27,59.0,85,16,99
4/13/2016,71,26,34.0,70,20,71
4/14/2016,73,27,41.0,123,18,123
4/15/2016,65,27,62.0,117,22,117
4/16/2016,69,27,58.0,78,16,78
4/17/2016,65,27,38.0,78,11,78
4/18/2016,47,27,47.0,93,17,93
4/19/2016,54,27,46.0,80,16,80
4/20/2016,55,27,38.0,99,15,99
4/21/2016,51,27,51.0,135,20,135
4/22/2016,53,28,41.0,69,17,69
4/23/2016,55,30,32.0,65,8,65
4/24/2016,63,28,39.0,57,11,63
4/25/2016,65,29,42.0,66,12,66
4/26/2016,71,29,49.0,67,18,71
4/27/2016,66,30,50.0,76,15,76
4/28/2016,60,30,47.0,82,19,82
4/29/2016,57,30,39.0,74,10,74
4/30/2016,71,31,69.0,66,15,71
5/1/2016,57,29,69.0,62,16,69
5/2/2016,64,29,49.0,66,12,66
5/3/2016,70,29,48.0,54,10,70
